timestamp,topic,lag
2026-06-03 05:45:16.306739,queries.dlq,12
2026-06-03 05:45:18.311536,queries,1127
2026-06-03 05:45:18.311536,queries.retry,230
2026-06-03 05:45:18.311536,queries.dlq,15
2026-06-03 05:45:20.317156,queries,1167
2026-06-03 05:45:20.317156,queries.retry,236
2026-06-03 05:45:20.317156,queries.dlq,19
2026-06-03 05:45:22.322399,queries,1204
2026-06-03 05:45:22.322399,queries.retry,192
2026-06-03 05:45:22.322399,queries.dlq,21
2026-06-03 05:45:24.327480,queries,1244
2026-06-03 05:45:24.327480,queries.retry,198
2026-06-03 05:45:24.327480,queries.dlq,23
2026-06-03 05:45:26.331558,queries,1284
2026-06-03 05:45:26.331558,queries.retry,204
2026-06-03 05:45:26.331558,queries.dlq,26
2026-06-03 05:45:28.335903,queries,1268
2026-06-03 05:45:28.335903,queries.retry,112
2026-06-03 05:45:28.335903,queries.dlq,26
2026-06-03 05:45:30.341150,queries,1273
2026-06-03 05:45:30.341150,queries.retry,104
2026-06-03 05:45:30.341150,queries.dlq,26
2026-06-03 05:45:32.345914,queries,1313
2026-06-03 05:45:32.345914,queries.retry,115
2026-06-03 05:45:32.345914,queries.dlq,26
2026-06-03 05:45:34.349765,queries,1311
2026-06-03 05:45:34.349765,queries.retry,119
2026-06-03 05:45:34.349765,queries.dlq,26
2026-06-03 05:45:36.354172,queries,1351
2026-06-03 05:45:36.354172,queries.retry,131
2026-06-03 05:45:36.354172,queries.dlq,26
2026-06-03 05:45:38.358442,queries,1249
2026-06-03 05:45:38.358442,queries.retry,135
2026-06-03 05:45:38.358442,queries.dlq,26
2026-06-03 05:45:40.362114,queries,1189
2026-06-03 05:45:40.362114,queries.retry,147
2026-06-03 05:45:40.362114,queries.dlq,26
2026-06-03 05:45:42.366624,queries,1179
2026-06-03 05:45:42.366624,queries.retry,158
2026-06-03 05:45:42.366624,queries.dlq,26
2026-06-03 05:45:44.370782,queries,1126
2026-06-03 05:45:44.370782,queries.retry,169
2026-06-03 05:45:44.370782,queries.dlq,27
2026-06-03 05:45:46.376316,queries,1166
2026-06-03 05:45:46.376316,queries.retry,176
2026-06-03 05:45:46.376316,queries.dlq,27
2026-06-03 05:45:48.381201,queries,1206
2026-06-03 05:45:48.381201,queries.retry,184
2026-06-03 05:45:48.381201,queries.dlq,32
2026-06-03 05:45:50.386660,queries,1246
2026-06-03 05:45:50.386660,queries.retry,193
2026-06-03 05:45:50.386660,queries.dlq,37
2026-06-03 05:45:52.393266,queries,1220
2026-06-03 05:45:52.393266,queries.retry,157
2026-06-03 05:45:52.393266,queries.dlq,38
2026-06-03 05:45:54.397759,queries,1160
2026-06-03 05:45:54.397759,queries.retry,118
2026-06-03 05:45:54.397759,queries.dlq,40
2026-06-03 05:45:56.402445,queries,1200
2026-06-03 05:45:56.402445,queries.retry,129
2026-06-03 05:45:56.402445,queries.dlq,43
2026-06-03 05:45:58.408452,queries,1190
2026-06-03 05:45:58.408452,queries.retry,138
2026-06-03 05:45:58.408452,queries.dlq,46
2026-06-03 05:46:00.413672,queries,1207
2026-06-03 05:46:00.413672,queries.retry,98
2026-06-03 05:46:00.413672,queries.dlq,48
2026-06-03 05:46:02.417304,queries,1154
2026-06-03 05:46:02.417304,queries.retry,102
2026-06-03 05:46:02.417304,queries.dlq,49
2026-06-03 05:46:04.420698,queries,1193
2026-06-03 05:46:04.420698,queries.retry,113
2026-06-03 05:46:04.420698,queries.dlq,49
2026-06-03 05:46:06.425251,queries,1098
2026-06-03 05:46:06.425251,queries.retry,110
2026-06-03 05:46:06.425251,queries.dlq,49
2026-06-03 05:46:08.430045,queries,988
2026-06-03 05:46:08.430045,queries.retry,120
2026-06-03 05:46:08.430045,queries.dlq,49
2026-06-03 05:46:10.434270,queries,1028
2026-06-03 05:46:10.434270,queries.retry,128
2026-06-03 05:46:10.434270,queries.dlq,49
2026-06-03 05:46:12.437886,queries,968
2026-06-03 05:46:12.437886,queries.retry,136
2026-06-03 05:46:12.437886,queries.dlq,49
2026-06-03 05:46:14.444632,queries,1008
2026-06-03 05:46:14.444632,queries.retry,144
2026-06-03 05:46:14.444632,queries.dlq,50
2026-06-03 05:46:16.449787,queries,995
2026-06-03 05:46:16.449787,queries.retry,105
2026-06-03 05:46:16.449787,queries.dlq,52
